,ma_san_pham,prediction,binh_luan,ten_san_pham,diem_trung_binh,prediction_label
0,422208181,0,aaaa nhờ megaduo mà da tui cải thiện rõ.,"Gel Dưỡng Megaduo Plus Giảm Mụn, Mờ Thâm 15g",4.8,positive
1,204100018,0,"Chỉ dùng pro acne 5in1 trong 2 tuần mà mình đã gần như hết mụn, rồi dầu thừa cũng đã bớt đi rất nhiều, những vết thâm mụn từ đợt mụn trước cũng đã mờ đi rõ rệt, cảm giác lỗ chân lông cũng được se khít hơn. Cho đến giờ vẫn chưa hết bất ngờ về hiệu quả của nó, đúng là công dụng 5 trong 1 sản phẩm nè. Mình mua chai này là chai thứ 3 luôn rồi ấy.",Kem Dưỡng Eucerin Giúp Làm Giảm Dầu & Mụn 50ml,4.6,positive
2,204100018,0,Nhờ dùng Pro Acne mà đỡ phải tốn kem che khuyết điểm nữa. Sản phẩm điều trị mụn ok nhất trong tất cả dòng mỹ phẩm mình đã dùng qua.,Kem Dưỡng Eucerin Giúp Làm Giảm Dầu & Mụn 50ml,4.6,positive
3,204100018,0,"Đã mua chai Pro Acne 5in1 này vài lần rồi, đóng gói kỹ và giao hàng nhanh, chỉ tiếc vừa rồi lỡ mất khung deal. Chất lượng thì không cần phải nói nhiều, da mụn và cần giải quyết các vấn đề liên quan tới dầu nhờn, thâm, lỗ chân lông thì phải dùng ngày chai này.",Kem Dưỡng Eucerin Giúp Làm Giảm Dầu & Mụn 50ml,4.6,positive
4,204100018,0,"Dùng Pro Acne 5in1 khoảng 1 tháng là da đã ổn áp hơn trước rất nhiều luôn, thâm mụn cũng giảm bớt và lỗ chân lông có vẻ như se khít hơn khiến nền da tổng quan nhìn rất láng mịn và sáng khoẻ. Cũng không cần phải dùng đến quá nhiều kem che khuyết điểm cho mụn. Thích mê. Ủng hộ lâu dài.",Kem Dưỡng Eucerin Giúp Làm Giảm Dầu & Mụn 50ml,4.6,positive
5,253900004,2,alert('Chào bạn');,Serum Skin1004 Rau Má Làm Dịu & Hỗ Trợ Phục Hồi Da 55ml,4.7,neutral
6,422211276,0,Trước xài thằng anessa quen rồi nay đc bạn nv giới thiệu dùng thử mới đầu mình nghĩ k bằng như mình đã tự vã mặt mình rồi các bạn ơi kcn nâng tone nhẹ nhàng k bết rít kiềm dầu tốt mình làm công việc ngoài trời nhiều nên đánh giá con này ok cứ 4tiếng mình thoa lại 1 lần để có hiệu quả tốt nhất nói chung là quá ok ạ đặc biệt k gây mụn ẩn như anessa là điểm 10đ ạ (da mình nhạy cảm ạ),Kem Chống Nắng Naris Cosmetics Dạng Gel Dưỡng Sáng Da 90g,4.7,positive
7,100190059,0,"Đặt trên app, mình chọn giao trong 2h. Mà vừa đặt xong nửa tiếng sau đã đến nhà","[Mini] Gel Rửa Mặt La Roche-Posay Dành Cho Da Dầu, Nhạy Cảm 50ml",4.7,positive
8,422204902,2,App để nhận được quà tặng mà ko thấy tặng. Mua trực tiếp cung không thấy tặng. Bill gân 500 cung k thây tặng,Serum Garnier Tăng Cường Sáng Da Mờ Thâm 30ml,4.3,neutral
9,200400004,0,"Trên app để tặng bông tẩy trang, mà đặt thì lại ko thấy tặng",Nước Tẩy Trang Bioderma Dành Cho Da Dầu & Hỗn Hợp 500ml,4.9,positive
10,211300002,0,"dùng để re-apply kcn thấy cũng ok, giá rẻ nên không đòi hỏi gì nhiều nhưng không thích cái mùi cho lắm",Nước Hoa Hồng Simple Làm Dịu Da & Cấp Ẩm 200ml,4.8,positive
