id,ma_khach_hang,noi_dung_binh_luan,noi_dung_binh_luan_stopword,ngay_binh_luan,gio_binh_luan,so_sao,ma_san_pham,sentiment_label,positive_score,negative_score,sentiment,lenght,day_of_week,time_group,day_group
21576,11,Mùi k thấy thơm mà ngai ngái kiểu đồ rởm là sao nhỉ,mùi không_thấy thơm ngái kiểu đồ_rởm,0022-01-22,21:51,2,232100001,negative,1,1,negative,36,Thursday,2,3
21577,44,Sao mua cây nâu về tô mực nhạt quá luôn ý ạ,nâu tô_mực nhạt,0023-05-16,22:27,3,422207383,neutral,0,0,neutral,15,Sunday,2,3
21578,76,"tớ chỉ đánh giá 7đ vì lông mi chuốt dễ bị lem, ko làm cong mi chỉ giúp mi dài và đen hơn tí",lông_chuốt không_làm giúp đen,0024-11-15,18:40,3,422206346,neutral,0,0,neutral,29,Wednesday,2,2
21579,76,"tớ chỉ đánh giá 7đ vì lông mi chuốt dễ bị lem, ko làm cong mi chỉ giúp mi dài và đen hơn tí",lông_chuốt không_làm giúp đen,0024-11-15,18:40,3,422206346,neutral,0,0,neutral,29,Wednesday,2,2
21580,101,"Hôm nay mình đặt sản phẩm cần đi du lịch gấp, nhưng khui ra sản phẩm bị lỗi và có bọt khí, mình có liên hệ ngay với shop nhưng ko được giải quyết đổi hàng hoặc trả hàng hoàn tiền, thậm chí nhân viên chăm sóc khách hàng còn trả lời rất chậm, do nghi vấn hàng giả?? mình có yêu cầu chứng từ xác minh như giấy công bố và hóa đơn đầu vào nhưng shop cố tình né tránh và ko cung cấp cho mình. Kể từ bây giờ thật sự nghi vấn về nguồn gốc hàng của hasaki.",hôm đi lịch gấp lỗi bọt_khí liên_hệ shop giải_quyết đổi hàng hàng hoàn tiền chăm_sóc khách_hàng trả_lời chậm_vấn hàng giả chứng_từ xác giấy công_bố hóa đơn_đầu_vào shop cố_tình_né_tránh không_cấp thật_sự_vấn nguồn_gốc hàng,0024-07-30,17:39,1,100540031,negative,0,2,negative,222,Sunday,2,3
21581,101,"Hôm nay mình đặt sản phẩm cần đi du lịch gấp, nhưng khui ra sản phẩm bị lỗi và có bọt khí, mình có liên hệ ngay với shop nhưng ko được giải quyết đổi hàng hoặc trả hàng hoàn tiền, thậm chí nhân viên chăm sóc khách hàng còn trả lời rất chậm, do nghi vấn hàng giả?? mình có yêu cầu chứng từ xác minh như giấy công bố và hóa đơn đầu vào nhưng shop cố tình né tránh và ko cung cấp cho mình. Kể từ bây giờ thật sự nghi vấn về nguồn gốc hàng của hasaki.",hôm đi lịch gấp lỗi bọt_khí liên_hệ shop giải_quyết đổi hàng hàng hoàn tiền chăm_sóc khách_hàng trả_lời chậm_vấn hàng giả chứng_từ xác giấy công_bố hóa đơn_đầu_vào shop cố_tình_né_tránh không_cấp thật_sự_vấn nguồn_gốc hàng,0024-07-30,17:39,1,100540031,negative,0,2,negative,222,Sunday,2,3
21582,109,"Mình không hài lòng về hũ Vaseline lip therapy này. Chất vaseline lỏng hơn lọ cũ , đồng thời thấy bọt khí rất nhiều ở đáy hộp. Đơn hàng này mình mua 1 hũ healing jelly thì ưng ý nhưng hũ vaseline lip therapy này thì không.",không_hài_lòng hũ vaseline lip therapy chất vaseline lỏng lọ cũ bọt_khí đáy hộp đơn hàng hũ jely ưng_ý hũ vaseline lip therapy không,0021-11-25,23:22,3,100540031,neutral,2,1,neutral,132,Tuesday,2,3
21583,187,Xuống tone quá nhanh,tông,0022-07-20,23:11,1,422200147,negative,0,0,negative,4,Monday,2,1
21585,193,Tơi mi không vón cục nhưng dễ trôi tầm 2-3 tiếng thôi là lem đen thui rồi .,tơi không_vón_cục trôi tầm tiếng đen,0022-03-31,19:23,3,100740010,neutral,1,2,neutral,36,Tuesday,2,3
21587,193,Tơi mi không vón cục nhưng dễ trôi tầm 2-3 tiếng thôi là lem đen thui rồi .,tơi không_vón_cục trôi tầm tiếng đen,0022-03-31,19:23,3,100740010,neutral,1,2,neutral,36,Tuesday,2,3
